system:index,GPCODE,GPNAME,LANDCOVER_CLASS,.geo
0,111722,BAGDAHA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,111723,BAGRA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,111724,BAHIYARDIH,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,111725,BANSJORA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,111726,BARORA,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,111727,BEHRAKUDAR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,111728,BHIMKANALI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,111729,BOWAKALA NORTH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,111730,BOWAKALA SOUTH,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,111731,CHHATRUTAND,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,111732,DALUDIH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,111733,DARIDA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,111734,DHARMABANDH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,111735,DHAWACHITA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,111736,DUMRA NORTH,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,111738,FULARITAND,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,111739,GOBINDADIH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,111740,HARINA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,111741,HATHUDIH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,111742,JAMUA,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,111743,JAMUATAND,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,111744,JHIJHIPAHARI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,111745,KANCHANPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,111746,KANDRA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,111747,KAPURIA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,111748,KESHARGARAH,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,111749,KHANUDIH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,111750,KHARKHARI,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,111751,KUMARJORI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,111752,LOHOPITTI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,111753,LUTIPAHARI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,111754,MADHUBAN,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,111755,MAHESHPUR 2,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,111756,MAHESHPUR 1,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,111757,MAHUDA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,111758,MALKERA NORTH,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,111759,MALKERA SOUTH,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,111760,MANDRA,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,111761,MATIGARAH,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,111762,MOHLIDIH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,111763,MURAIDHI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,111764,NADKHURKI,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,111766,NAGRIKALA NORTH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,111767,NICHITPUR-1,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,111768,NICHITPUR-2,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,111769,PADUGORA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,111770,PATHARGARIA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,111771,PHATAMAHUL,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,111772,RAGHUNATHPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,111773,RAJGANJ,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,111774,RANGUNI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,111775,SINGRAH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,111776,SINIDIH,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,111777,TARGA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,111778,TELMOCHO,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,111779,TETULIA-1,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,111780,TETULIA-2,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,111781,TUNDU,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,111782,ALAKHDIHA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,111783,AMJHAR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,111784,AMTAL,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,111785,BAGHMARA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,111786,BALIAPUR EAST,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,111788,BARADAHA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,111789,BHIKHRAJPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,111790,BIRSINGHPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,111791,CHANDKUIYA,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,111792,DOLAWAR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,111793,DUDHIYA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,111794,GHARBAR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,111795,JAGDISH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,111796,KARMATAND,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,111797,KUSMATAND,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,111798,MUKUNDA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,111799,PALANI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,111800,PRADHANKHANTA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,111801,SINDURPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,111802,SURUNGA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,111803,ARALGARIA,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,111804,BARDUBHI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,111805,DAMODARPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,111806,DHOKHRA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,111807,DUBRAJDIH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,111808,GOPINATHDIH,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,111809,PANDARKANALI,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,111810,PANDERKANALI SOUTH,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,111811,SAMSHIKHARA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,111812,SIYALGUDRI,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,111813,AMARPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,111814,ASANBANI 1,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,111815,ASANBANI 2,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,111816,BAGSUMA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,111817,BARA NAWATAND,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,111818,BARA PICHARI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,111819,BARIYO,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,111820,BARWA EAST,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,111821,BHITIYA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,111822,BIRAJPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,111823,DAMKARA BARWA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,111824,DEWLI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,111825,GORTOPA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,111826,GOVINDPUR EAST,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,111828,JAMDIHA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,111829,JANGALPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,111830,JAYNAGAR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,111831,JIALGORA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,111832,KALADABUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,111833,KANCHANPUR,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,111834,KARMATAND,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,111835,KHARANI,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,111836,KUALBERA,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,111837,MAHUBANI 1,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
