system:index,GPCODE,GPNAME,LANDCOVER_CLASS,LANDCOVER_NAME,.geo
174,111971,SALUKACHPARA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,111972,SASHANBARIA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,111973,SHYAMPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,111974,SIJUA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,111976,SIWALIBARI MIDDLE,13,Urban and Built-up Lands,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,111979,SONBAD,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,111980,SUSUNLIYA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,111981,UPCHURIYA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,111982,URMA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,111983,BHUIYA CHITRO,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,111984,BISHANPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,111985,BRAHAMANDIHA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,111986,CHAITA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,111987,CHITARPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,111988,DHANGI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,111989,DUMDUMI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,111990,GENDANAWADIH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,111991,GHUNGHASA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,111992,GOMO NORTH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,111994,HARIHARPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,111996,KHARIYO,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,111998,KORKOTA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,111999,LEDATAND,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,112000,LOKBAD,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,112001,MADAIDIH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,112002,MATARI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,112003,NERO,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,112004,PAWAPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,112005,PRADHANKHANTA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,112006,RAMAKUNDA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,112007,SINGHDAHA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,112008,SIRAMPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,112009,TANTRI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,112010,TOPCHANCHI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,112011,BARWATAND,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,112012,BEGNARIYA,4,Deciduous Broadleaf Forests,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,112013,CHURURIYA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,112014,JATAKHUTI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,112015,JEETPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,112016,KADAIYA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,112017,KAMARDIH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,112018,KATNIA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,112019,KOLHAR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,112020,LACHURAYDIH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,112021,LATANI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,112022,LUKAIA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,112023,MACHIYARA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,112024,MAIRANAWATAND,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,112025,MANIYADIH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,112026,MOHLIDIH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,112027,PHATEHPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,112028,PURNADIH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,112029,RAGHUNATHPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,112030,RAJABHITHA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,112031,RAMPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,112032,RATANPUR,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,112033,RUPAN,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,112034,TUNDI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,112035,UKMA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,245449,CHHOTANAGRI,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,245450,NAVADIH,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,245451,PETIA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,245452,PARASBANIA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,245453,CHHATATAND,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,277569,PANDRABEJRA,12,Croplands,"{""type"":""MultiPoint"",""coordinates"":[]}"
