system:index,ELEVATION_M,GPCODE,GPNAME,.geo
71_0,207,111796,KARMATAND,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,199,111797,KUSMATAND,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0,211,111798,MUKUNDA,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,211,111799,PALANI,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,204,111800,PRADHANKHANTA,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0,174,111801,SINDURPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,184,111802,SURUNGA,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,196,111803,ARALGARIA,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,177,111804,BARDUBHI,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,222,111805,DAMODARPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,217,111806,DHOKHRA,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,185,111807,DUBRAJDIH,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,197,111808,GOPINATHDIH,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,198,111809,PANDARKANALI,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,193,111810,PANDERKANALI SOUTH,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,193,111811,SAMSHIKHARA,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,201,111812,SIYALGUDRI,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,226,111813,AMARPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,230,111814,ASANBANI 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,226,111815,ASANBANI 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,203,111816,BAGSUMA,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,215,111817,BARA NAWATAND,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,268,111818,BARA PICHARI,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,203,111819,BARIYO,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,160,111820,BARWA EAST,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,213,111821,BHITIYA,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,258,111822,BIRAJPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,247,111823,DAMKARA BARWA,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,189,111824,DEWLI,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,204,111825,GORTOPA,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,199,111826,GOVINDPUR EAST,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,219,111828,JAMDIHA,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,195,111829,JANGALPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,227,111830,JAYNAGAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,225,111831,JIALGORA,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,171,111832,KALADABUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,221,111833,KANCHANPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,201,111834,KARMATAND,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,235,111835,KHARANI,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,246,111836,KUALBERA,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,192,111837,MAHUBANI 1,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,214,111838,MAHUBANI 2,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,243,111839,MARICHO,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,188,111840,MATIYALA,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,202,111841,MORANGA,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,173,111842,MURGABANI,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,239,111843,NAGAR KIYARI,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,210,111844,PANDUKI,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,168,111845,PARASI,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,202,111846,PATHURIA,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,197,111847,RATANPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
122_0,200,111848,SAHRAJ,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,306,111849,TILAIYA,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,187,111850,TILAWANI,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,259,111851,UDAYPUR,"{""type"":""MultiPoint"",""coordinates"":[]}"
126_0,140,111915,AGARKUND NORTH,"{""type"":""MultiPoint"",""coordinates"":[]}"
127_0,188,111917,ALAKENDRA,"{""type"":""MultiPoint"",""coordinates"":[]}"
128_0,165,111919,ANKHDWARA,"{""type"":""MultiPoint"",""coordinates"":[]}"
129_0,163,111920,ASANLIYA,"{""type"":""MultiPoint"",""coordinates"":[]}"
130_0,153,111921,BAIJNA,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,139,111922,BANDA EAST,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,184,111924,BARA AMBONA,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,170,111925,BELKUPA,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,136,111926,BENAGORIA (CHI),"{""type"":""MultiPoint"",""coordinates"":[]}"
135_0,178,111927,BENAGORIYA (NI),"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,148,111928,BHAGABANDH,"{""type"":""MultiPoint"",""coordinates"":[]}"
137_0,141,111929,BHAMAL,"{""type"":""MultiPoint"",""coordinates"":[]}"
