Model,Dataset,MAE,RMSE,R2,Bias,Correlation,POD_0.1,FAR_0.1,CSI_0.1,POD_5.0,FAR_5.0,CSI_5.0,POD_15.0,FAR_15.0,CSI_15.0
Baseline_ERA5,Unseen_Blocks_2024,3.3593581350602126,8.980077349302366,-0.19455520668659831,0.3071525407078501,0.5900338975595781,0.8952270081490105,0.5095663265306123,0.4638118214716526,0.7013333333333334,0.3297228416693214,0.5214374225526642,0.4142640364188164,0.373134328358209,0.332318928788801
Ridge_Residual_Spatial_Holdout,Unseen_Blocks_2024,3.434916288346949,6.391964256444665,0.3947779444934575,0.9153656051718019,0.6473426038065757,0.9925494761350407,0.6328165374677003,0.3661741968733895,0.8566666666666667,0.4528422397274856,0.5012677979325142,0.36646433990895294,0.3783783783783784,0.29962779156327546
Baseline_ERA5,Seen_Blocks_2024,3.834076606666687,10.470746303080212,-0.4700048198182416,0.546916608165585,0.595343347872041,0.8961731493099122,0.534513658828002,0.441667525507575,0.6553696553696554,0.389177662268426,0.46232220316755773,0.4080195458465076,0.39736786244958605,0.32151755379388447
Ridge_Residual_Spatial_Holdout,Seen_Blocks_2024,3.8182184333732123,6.734554877300141,0.391891216008886,0.9869250145730193,0.6512665213274202,0.9901714763697198,0.6621959049725333,0.33667519908987487,0.8063778063778064,0.49319192917808835,0.4518248467609471,0.3855993101465938,0.3989695340501792,0.30701453255521227
