Feature,Standardized_Coefficient_Magnitude_Pct,Permutation_Importance_Val_Mean,Permutation_Importance_Val_Std
MONTH,22.578825434821137,3.2522800565388605,0.03103750171497873
REFERENCE_RAINFALL,22.5559713139081,2.966862151002764,0.030939911604764243
DAY_OF_YEAR,20.510436797506905,2.9104399290805216,0.04097685894778848
LOG_REFERENCE_RAINFALL,10.806571168309823,0.9591797008850417,0.014217553713717112
SIN_DOY,4.853781221758431,0.2538806671619741,0.009738154160896134
ET,2.2646519714709807,0.12269946261301676,0.0040767365105896835
REFERENCE_RAIN_EVENT,3.37291771914485,0.09560699345343852,0.004172884406788071
COS_DOY,5.129296839486404,0.055803421450354926,0.005123634615046483
HUMIDITY,0.8095055408734221,0.02203700677484859,0.0018583599084835256
WIND,2.0513374085768254,0.011999464540382476,0.002196371538908822
ELEVATION,0.2336866639463227,0.00039502285103338864,0.00045944589015081027
SLOPE,0.04578242506629303,1.4861761224960191e-05,4.9628122705130636e-05
LANDCOVER,0.0013716537592802444,1.0766800283334987e-06,3.4586737344102335e-06
MONSOON_FLAG,2.6310717351792983,-0.017408333497737072,0.0027249095726440686
TEMPERATURE,2.154792106191933,-0.02656702034916778,0.0030332877168075816
