Feature,count,mean,std,min,25%,50%,75%,max,Missing_Count,Missing_Pct
RAINFALL,432999.0,3.9749205964035688,8.693355856783905,0.0,0.0,0.0,3.5719829436614616,125.26109163384687,3654,0.8368200836820083
REFERENCE_RAINFALL,436653.0,3.6976935677112333,8.792094727757592,0.0,0.0008672474791637,0.173419180100609,4.005733132260048,204.95723485936423,0,0.0
TEMPERATURE,436653.0,24.99902241899086,5.1142635659060875,11.734836196899437,20.92709757486984,26.4514264424642,28.401239013671898,37.64697100321456,0,0.0
HUMIDITY,436653.0,68.35889334248327,17.640895126232984,14.577345692299648,59.35271946265208,70.88773937198228,82.85107532184436,98.9074357112524,0,0.0
WIND,436653.0,1.7672584422537314,0.8763791200213804,0.0098804277023972,1.1551113683096228,1.6960321327469616,2.240736219178529,7.347102539281063,0,0.0
ET,436653.0,2.6170064052698208,1.0382005756512953,0.2474905923008918,1.7408644780516624,2.531702630221844,3.4471070393919945,6.363976746797562,0,0.0
ELEVATION,436653.0,203.11297071129707,43.70818960643355,103.0,171.0,203.0,232.0,313.0,0,0.0
SLOPE,436653.0,3.418408758995816,2.9551715218628747,0.0,1.374396,2.7802885,4.219788,26.433105,0,0.0
LANDCOVER,436653.0,11.94979079497908,0.7582125098191563,4.0,12.0,12.0,12.0,13.0,0,0.0
