GPCODE,GPNAME,BLOCK,N_Days,ML_MAE,ML_RMSE,ML_R2,ML_Bias,ML_Correlation,REF_MAE,REF_RMSE,REF_Bias,REF_Correlation,RMSE_Improvement,MAE_Improvement
111722,BAGDAHA,Baghmara,366,3.38080594494429,6.055782010700169,0.3962750302082131,0.9785093211306656,0.6622615736741279,3.3844166372891666,9.717528331843218,0.4736321442596487,0.5889403298832117,3.661746321143048,0.0036106923448766537
111723,BAGRA,Baghmara,366,3.8752295158964807,6.803914014645505,0.41881518897882963,1.1029226708684345,0.6658479715286949,3.7688402658667495,10.561224517199001,0.5318132086878575,0.6090182388765673,3.757310502553496,-0.10638925002973121
111724,BAHIYARDIH,Baghmara,366,3.4886693851209807,6.125687624119387,0.4550548999733651,1.0096219586227484,0.6922359267516303,3.401290206729968,9.598110593197589,0.40039065870515905,0.6266641323230788,3.4724229690782016,-0.0873791783910125
111725,BANSJORA,Baghmara,366,3.6036903868915884,6.333853889791312,0.457587542395143,0.9725167722135628,0.6883816906822247,3.4068836573059276,9.00541858772201,0.33023823005379527,0.6392722484678641,2.671564697930698,-0.1968067295856608
111726,BARORA,Baghmara,366,3.6777542383321777,6.412857826909825,0.45031326094828483,1.021359405709619,0.6840087369241724,3.429835217025871,9.062523102567791,0.3366042159665889,0.6347480825559982,2.6496652756579664,-0.24791902130630694
111727,BEHRAKUDAR,Baghmara,366,3.575270407353474,6.344449371738743,0.41036782391118654,1.039825021652033,0.6650426662862362,3.4840858502724252,9.915541981734254,0.45057229800706694,0.596147558278255,3.571092609995511,-0.09118455708104856
111728,BHIMKANALI,Baghmara,366,3.570851764048391,6.518869856030634,0.43034402659853177,0.9946686379199395,0.6701282813158359,3.3562864123864937,9.224213004038578,0.36341637062506366,0.619927929738145,2.7053431480079437,-0.21456535166189727
111729,BOWAKALA NORTH,Baghmara,366,3.7599254478633677,6.6766292796060025,0.3765305429484208,0.9657785584059667,0.6416928416007964,3.6930211225238367,10.844718305828163,0.4902555017062417,0.5700074050495066,4.168089026222161,-0.06690432533953095
111730,BOWAKALA SOUTH,Baghmara,366,3.7876643268009724,6.647936449253494,0.3943393876691713,0.9196813356958214,0.6507407402015801,3.7139252577034565,10.736339588086778,0.4164713960496895,0.5809159074026743,4.088403138833285,-0.07373906909751593
111731,CHHATRUTAND,Baghmara,366,3.675192279875203,6.334217559829979,0.4413820306290843,1.0411894170214273,0.6855808165687037,3.6892512644250943,10.451358096023341,0.5075789703157214,0.6166688410907867,4.117140536193363,0.014058984549891296
111732,DALUDIH,Baghmara,366,3.2904394308185987,5.941821475419941,0.4148616358448358,0.9492530438710542,0.6677226871829827,3.2324317411579124,8.85150958128465,0.33112499471381746,0.5981108882696399,2.90968810586471,-0.05800768966068626
111733,DARIDA,Baghmara,366,3.4880169309676265,6.171868399236356,0.4313626639969269,1.0984222778789314,0.6787826217540062,3.3226513650949583,9.157702636892974,0.4568300260617169,0.6209615739618364,2.9858342376566185,-0.16536556587266826
111734,DHARMABANDH,Baghmara,366,3.640949455540098,6.35204514402103,0.4364000148392281,0.9993202778595062,0.6778727606736373,3.525488380663094,9.749136737055542,0.39245566113701463,0.6136465218486643,3.397091593034512,-0.11546107487700397
111735,DHAWACHITA,Baghmara,366,3.3397488814063907,5.845296235229198,0.4380519809440673,0.9585055281831263,0.6821280242988792,3.2019278632009742,8.6504957189534,0.3079458640431319,0.6191008832543544,2.805199483724201,-0.13782101820541648
111736,DUMRA NORTH,Baghmara,366,3.54653932098977,6.23056909314808,0.4565549872679352,1.0164866851016119,0.689946198388912,3.333207507447218,9.000927517409876,0.3699309788136753,0.6381483842335898,2.7703584242617953,-0.21333181354255215
111738,FULARITAND,Baghmara,366,3.658442249907337,6.406799100274648,0.45135143410967893,0.9907814023687617,0.6841031769358723,3.429835217025871,9.062523102567791,0.3366042159665889,0.6347480825559982,2.6557240022931436,-0.22860703288146622
111739,GOBINDADIH,Baghmara,366,3.5567463190790907,6.501899116176119,0.38150651427313476,0.8969688616991301,0.6416176780481286,3.5434465458682682,9.863170988956668,0.4169689675845197,0.5789629978694871,3.3612718727805486,-0.01329977321082243
111740,HARINA,Baghmara,366,3.503305439538006,6.206141526821975,0.43149439275246204,1.1096417971721102,0.678386118226817,3.324183519178754,9.158026596294004,0.4657454219990481,0.6214614022851621,2.951885069472029,-0.17912192035925223
111741,HATHUDIH,Baghmara,366,3.6673638106916795,6.3314745660431,0.4418657379950982,1.0273877805996074,0.6856018486108806,3.6892512644250943,10.451358096023341,0.5075789703157214,0.6166688410907867,4.119883529980241,0.02188745373341483
111742,JAMUA,Baghmara,366,3.5129094297942727,6.236690312061745,0.42387042167082234,1.0333047187702564,0.6742349024253276,3.4407129215703254,9.81465067980005,0.43967542859393205,0.6055467266227931,3.5779603677383047,-0.0721965082239473
111743,JAMUATAND,Baghmara,366,3.602252782341359,6.272905823682412,0.426058125336346,1.0265302447499114,0.6744177177838356,3.4652662431429992,9.727850526065147,0.4330966948975774,0.6143650426477445,3.4549447023827353,-0.13698653919835957
111744,JHIJHIPAHARI,Baghmara,366,3.650429545730795,6.376635306032115,0.41964582384244353,1.029623355392345,0.6689651810737237,3.5062322918919215,9.7699636471634,0.43010087722166496,0.6110437517105868,3.3933283411312862,-0.1441972538388736
111745,KANCHANPUR,Baghmara,366,3.6640565156941167,6.36684148575643,0.4150268163536559,1.076757358996049,0.6677472675933732,3.5441202011265758,9.858375021854911,0.454447874228843,0.602283534940867,3.4915335360984816,-0.11993631456754095
111746,KANDRA,Baghmara,366,3.7658997585796383,6.434230047543777,0.44183958735316886,1.0752557587184854,0.6829344060950354,3.7107504762049173,9.822386136568442,0.4984869710892607,0.631305847906659,3.3881560890246645,-0.055149282374721054
111747,KAPURIA,Baghmara,366,3.661273957129465,6.463934569532653,0.420676038239456,1.1429136790322885,0.674313686455363,3.6047059042468517,10.538651779753867,0.6001752376538133,0.6090342993404013,4.0747172102212135,-0.05656805288261335
111748,KESHARGARAH,Baghmara,366,3.6749626382436724,6.635585107690844,0.4411939464514394,0.9634953921517379,0.6748840014284547,3.4243907947829655,9.163040327265916,0.2916363057479144,0.6288014816817786,2.5274552195750726,-0.25057184346070693
111749,KHANUDIH,Baghmara,366,3.5973035046152644,6.539803811646947,0.42219739759876806,1.014804188646533,0.6654082750746206,3.387493372856242,9.28069897138772,0.38146516435786726,0.6142787700740223,2.7408951597407727,-0.2098101317590224
111750,KHARKHARI,Baghmara,366,3.61224562935222,6.333943731932955,0.4538536627283185,0.9951132356390332,0.6865786498283843,3.396040670067046,9.035273037123906,0.3428476702388608,0.6362617638655371,2.701329305190951,-0.2162049592851738
111751,KUMARJORI,Baghmara,366,3.608802642143907,6.2961181771415005,0.4374247445705831,1.017539570185707,0.6798095035650421,3.4864830395736015,9.728540644794938,0.40260643287134895,0.6150533042430465,3.4324224676534376,-0.12231960257030527
111752,LOHOPITTI,Baghmara,366,3.826639864175115,6.623722185861614,0.43397452912929857,1.0566583288233624,0.6751018454197794,3.7406867023077353,9.94298836019484,0.4597653946123194,0.621690571639683,3.319266174333227,-0.08595316186737989
111753,LUTIPAHARI,Baghmara,366,3.6401193581849096,6.580318266940254,0.4447652809811472,0.9348588276970138,0.6771550144100212,3.424944646117662,9.137463321936034,0.29877251758696466,0.6304115403154872,2.5571450549957797,-0.2151747120672476
111754,MADHUBAN,Baghmara,366,3.650478050859742,6.4353966464138095,0.45057583838028936,0.9843478859907028,0.6831856950644369,3.4273430241077105,9.07063516899067,0.3279072738103535,0.6344089263444626,2.63523852257686,-0.22313502675203134
111756,MAHESHPUR 1,Baghmara,366,3.3121303151146644,5.92537895082743,0.4258880955482973,0.9617267702305894,0.674095985514264,3.2347837852033674,8.774737933960472,0.3175508664016676,0.6067476978471341,2.8493589831330413,-0.07734652991129698
111757,MAHUDA,Baghmara,366,3.685764188164428,6.337971322581361,0.4407197418331875,1.0598152873062816,0.6855517725075349,3.6892512644250943,10.451358096023341,0.5075789703157214,0.6166688410907867,4.11338677344198,0.0034870762606664663
111758,MALKERA NORTH,Baghmara,366,3.6355135075378207,6.337214844928839,0.43656265343875766,1.011453495766811,0.6784741069763006,3.5131426348761425,9.74249408843269,0.39502718997637937,0.6141170067243326,3.40527924350385,-0.12237087266167812
111759,MALKERA SOUTH,Baghmara,366,3.6447126831969454,6.353301539567945,0.4361770395533463,1.0056938368390222,0.6778602522521732,3.525488380663094,9.749136737055542,0.39245566113701463,0.6136465218486643,3.395835197487597,-0.1192243025338513
111760,MANDRA,Baghmara,366,3.6502665619091736,6.404258066764394,0.4517865524588147,0.9777807181749618,0.6841437188770224,3.429835217025871,9.062523102567791,0.3366042159665889,0.6347480825559982,2.6582650358033977,-0.22043134488330285
111761,MATIGARAH,Baghmara,366,3.774462339838923,6.980913639316499,0.42267289520072937,0.9188005621116594,0.6590629009512152,3.5003214075388,9.365563556162456,0.25253377512297914,0.6161667662035595,2.384649916845957,-0.27414093230012293
111762,MOHLIDIH,Baghmara,366,3.7471140111502756,6.646580709648248,0.3795937927073234,0.9799619228300195,0.6442288642674936,3.6888454876062444,10.807507602734212,0.4992830087163666,0.5735328731908054,4.160926893085964,-0.058268523544031225
111763,MURAIDHI,Baghmara,366,3.5160704862343466,6.210783174606099,0.4306436904032218,1.1299213790100278,0.6783300620239161,3.324183519178754,9.158026596294004,0.4657454219990481,0.6214614022851621,2.9472434216879053,-0.19188696705559272
111764,NADKHURKI,Baghmara,366,3.747143907080268,6.798552193573872,0.43162082380965583,0.9898591899825937,0.6677148983507867,3.4532601141135526,9.250103114793237,0.27231505532147565,0.6233160028938983,2.451550921219365,-0.2938837929667155
111766,NAGRIKALA NORTH,Baghmara,366,3.647644384824552,6.455334044834897,0.40651979471683874,0.9869596612000511,0.6595181555508237,3.5307009011585175,9.916673414687807,0.42239384745974107,0.5970561503836589,3.46133936985291,-0.11694348366603435
111767,NICHITPUR-1,Baghmara,366,3.4366469229595693,6.032770372995876,0.441685108468965,1.0303362928015203,0.6877551975003979,3.3521505644540373,9.673136831586879,0.43860660796224665,0.6184277620339946,3.6403664585910027,-0.08449635850553205
111768,NICHITPUR-2,Baghmara,366,3.482247125312332,6.197755426865415,0.43213890008964895,1.097465621451202,0.6786524236111415,3.3268433032571534,9.152165211592774,0.4504821245281193,0.6218816033399682,2.9544097847273587,-0.15540382205517878
111769,PADUGORA,Baghmara,366,3.4980783527719406,6.120421844057572,0.46268440646135833,0.9388305050592387,0.695107278957175,3.451940465325745,9.554674660588853,0.34313134644119925,0.6308281296914661,3.4342528165312816,-0.046137887446195514
111770,PATHARGARIA,Baghmara,366,3.745990017984016,6.382529003464787,0.44374856188336775,1.1045580966425945,0.6855112246602989,3.674551476024703,9.81012286517133,0.4993729114057791,0.6321128839020803,3.4275938617065433,-0.0714385419593131
111771,PHATAMAHUL,Baghmara,366,3.635832563115246,6.371936334963954,0.4205008398683282,1.0061823400847445,0.6690047720953255,3.5062322918919215,9.7699636471634,0.43010087722166496,0.6110437517105868,3.3980273121994466,-0.12960027122332463
